EntrezID1	EntrezId2
6156	1915
6156	9188
6156	7428
6156	6175
6156	3383
6156	3178
6156	10987
6156	6124
6156	1938
6156	7150
6156	6141
6156	6128
6156	6129
6156	5971
6156	7412
6156	7157
6156	11337
6156	7415
6156	3192
6156	1017
6156	1147
6156	1660
6156	5885
6156	3326
6156	6143
6159	7428
6159	4869
6159	4738
6159	6160
6159	10514
6159	8726
6159	3608
6159	3609
6159	6045
6159	2335
6159	8353
6159	292
6159	4904
6159	2091
6159	6188
6159	6189
6159	6191
6159	6122
6159	4914
6159	2099
6159	2100
6159	5705
6159	9656
6159	6201
6159	6203
6159	4670
6159	6207
6159	6208
6159	6217
6159	6222
6159	3725
6159	3320
6159	2130
6159	4691
6159	5460
6159	6136
6159	9820
6159	9188
6159	6175
6159	1660
6159	3178
6159	6124
6159	1938
6159	7150
6159	6128
6159	6129
6159	1107
6159	6135
6159	3192
6159	1915
6159	6780
6159	6141
6159	6143
6160	3725
6160	8065
6160	55723
6160	8452
6160	8453
6160	8454
6160	6124
6160	23435
6160	8450
6160	3608
6160	10514
6160	7534
6160	8726
6160	3609
6160	55832
6160	409
6160	22938
6160	100288687
6160	6045
6160	23710
6160	6175
6160	672
6160	8353
6160	292
6160	10664
6160	2091
6160	6188
6160	6189
6160	6191
6160	6122
6160	4869
6160	11337
6160	6201
6160	6203
6160	4670
6160	6207
6160	6208
6160	57154
6160	6217
6160	4171
6160	84557
6160	6222
6160	4904
6160	11345
6160	2130
6160	4691
6160	5460
6160	6741
6160	4738
6160	988
6160	5728
6160	3383
6160	9188
6160	6128
6160	10987
6160	10236
6160	3178
6160	4843
6160	6136
6160	1938
6160	7150
6160	2335
6160	6129
6160	7412
6160	7157
6160	6135
6160	3192
6160	1017
6160	1915
6160	1660
6160	6141
6160	6143
83987	7175
83987	8208
83987	55832
83987	3609
83987	6175
83987	2597
83987	4134
83987	2091
83987	6188
83987	6189
83987	6191
83987	8243
83987	9782
83987	6714
83987	6208
83987	71
83987	4171
83987	4172
83987	4173
83987	6222
83987	4175
83987	4176
83987	2130
83987	4691
83987	1108
83987	9820
83987	5725
83987	10856
83987	3178
83987	3185
83987	3187
83987	6772
83987	3189
83987	1654
83987	3191
83987	3192
83987	8826
83987	6780
83987	5245
83987	9343
83987	142
83987	3608
83987	2194
83987	7316
83987	1915
83987	26284
83987	8368
83987	10432
83987	1660
83987	5315
83987	10949
83987	1655
83987	10971
83987	3295
83987	5499
83987	4841
83987	3308
83987	3309
83987	3313
83987	7415
83987	10492
83987	3837
83987	3326
83987	3329
83987	4869
83987	5591
83987	5903
83987	10514
83987	8467
83987	6421
83987	790
83987	10521
83987	10524
83987	4904
83987	5931
83987	302
83987	5430
83987	4926
83987	23363
83987	9031
83987	3913
83987	4436
83987	10075
83987	7520
83987	26986
83987	7531
83987	8570
83987	22907
83987	383
83987	1432
83987	23450
83987	23451
83987	8607
83987	4000
83987	4001
83987	9126
83987	6129
83987	11177
83987	10155
83987	81839
83987	2547
83987	6601
83987	5578
83987	57805
83987	4174
83987	983
83987	2010
83987	1499
83987	9188
83987	6117
83987	5094
83987	2023
83987	6122
83987	23020
83987	6128
83987	7153
83987	498
83987	1107
83987	7157
83987	6135
83987	3066
83987	10236
83987	6141
57626	3320
57626	658
57626	3326
57626	7046
2078	3329
2078	9987
2078	8452
2078	4869
2078	3308
2078	9782
2078	3725
2078	142
2078	60
2078	6421
2078	790
2078	3608
2078	3609
2078	23450
2078	3183
2078	6175
2078	6688
2078	3312
2078	23451
2078	988
2078	2091
2078	2353
2078	7155
2078	6709
2078	10294
2078	203068
2078	4670
2078	3189
2078	2114
2078	2115
2078	5430
2078	3182
2078	6222
2078	4691
2078	5591
2078	11100
2078	7520
2078	2146
2078	3187
2078	9188
2078	4841
2078	3178
2078	23020
2078	3181
2078	7150
2078	367
2078	3184
2078	3185
2078	498
2078	2547
2078	4926
2078	1654
2078	1655
2078	3192
2078	3065
2078	3066
6175	3608
6175	3609
6175	4869
6175	3676
6175	2091
6175	6188
6175	6189
6175	6191
6175	2099
6175	2100
6175	26168
6175	6201
6175	6203
6175	60
6175	4670
6175	6207
6175	6208
6175	11337
6175	4171
6175	84557
6175	6222
6175	11345
6175	2130
6175	4691
6175	9820
6175	5728
6175	3178
6175	3192
6175	8826
6175	1660
6175	4738
6175	3725
6175	55832
6175	7316
6175	23710
6175	10399
6175	10971
6175	81631
6175	6780
6175	10987
6175	3312
6175	5928
6175	7412
6175	3320
6175	3326
6175	8450
6175	8452
6175	8453
6175	8454
6175	5903
6175	10514
6175	10014
6175	2335
6175	3363
6175	292
6175	4904
6175	4914
6175	3383
6175	23363
6175	4436
6175	10075
6175	6497
6175	7428
6175	26986
6175	7531
6175	7534
6175	1915
6175	8065
6175	23435
6175	1938
6175	409
6175	22938
6175	6045
6175	1457
6175	6217
6175	4088
6175	988
6175	9188
6175	6117
6175	6118
6175	6119
6175	6122
6175	6124
6175	7150
6175	6128
6175	6129
6175	7157
6175	6135
6175	6136
6175	1017
6175	6141
6175	6143
10273	4609
10273	8450
10273	4089
10273	7428
10273	7046
10273	3329
10273	3337
10273	658
10273	3091
10273	7316
10273	408
10273	409
10273	10013
10273	2977
10273	1956
10273	2982
10273	2983
10273	2908
10273	860
10273	10413
10273	10419
10273	4087
10273	4790
10273	26168
10273	6714
10273	7099
10273	2099
10273	57154
10273	6603
10273	196
10273	2308
10273	3297
10273	331
10273	4174
10273	207
10273	1616
10273	4088
10273	5970
10273	4090
10273	2023
10273	51548
10273	861
10273	6885
10273	5728
10273	11315
10273	7415
10273	6886
10273	6502
10273	7015
10273	4842
10273	4843
10273	3308
10273	3309
10273	367
10273	3312
10273	2034
10273	7157
10273	4086
10273	4215
10273	3320
10273	5241
10273	10746
10273	1147
10273	4221
10273	3326
10273	3303
4134	8451
4134	23435
4134	3725
4134	9219
4134	7316
4134	2335
4134	4904
4134	4914
4134	5430
4134	2932
4134	203068
4134	84557
4134	983
4134	6117
4134	6118
4134	6119
4134	10236
4134	3309
4134	3185
4134	6258
4134	7412
4134	3068
348	4035
348	71
348	84171
348	6124
348	4846
348	1457
348	7412
348	4314
348	7804
2091	4609
2091	8726
2091	3608
2091	3609
2091	1058
2091	3676
2091	6188
2091	6189
2091	6191
2091	55352
2091	6201
2091	6203
2091	60
2091	4670
2091	6207
2091	6208
2091	11335
2091	11337
2091	4171
2091	6222
2091	4691
2091	9820
2091	6749
2091	54881
2091	2146
2091	10856
2091	1642
2091	8815
2091	1655
2091	3192
2091	1147
2091	1660
2091	3178
2091	648
2091	3725
2091	7316
2091	4255
2091	10419
2091	4790
2091	708
2091	3276
2091	10445
2091	6880
2091	10987
2091	3309
2091	3312
2091	7412
2091	3320
2091	3836
2091	3326
2091	8451
2091	8452
2091	4869
2091	10514
2091	8467
2091	10521
2091	2335
2091	292
2091	4904
2091	4914
2091	23363
2091	5970
2091	6119
2091	1915
2091	6015
2091	23435
2091	2959
2091	1938
2091	409
2091	6045
2091	8607
2091	27043
2091	1956
2091	10664
2091	6217
2091	11198
2091	3020
2091	4174
2091	23512
2091	3551
2091	9188
2091	6117
2091	6118
2091	2023
2091	10236
2091	6122
2091	6124
2091	7150
2091	6128
2091	6129
2091	7157
2091	6135
2091	6136
2091	1017
2091	3068
2091	6141
2091	6143
6188	8726
6188	3608
6188	3609
6188	4869
6188	3676
6188	6189
6188	6191
6188	2099
6188	2100
6188	6201
6188	6203
6188	6207
6188	6208
6188	6217
6188	4171
6188	84557
6188	6222
6188	11345
6188	6741
6188	9820
6188	5728
6188	4193
6188	3178
6188	1654
6188	3192
6188	6780
6188	4738
6188	3725
6188	55832
6188	23710
6188	10399
6188	7341
6188	100288687
6188	4790
6188	4791
6188	10949
6188	10971
6188	81631
6188	6885
6188	10987
6188	3308
6188	3309
6188	7412
6188	7415
6188	3320
6188	5885
6188	8450
6188	8451
